vendor_guid,object_type,title,description,display_name,calculation_method,calculation_int,workflow_state,parent_guids,ratings
 1 ,group,  KIẾN THỨC VÀ LẬP LUẬN NGÀNH,, 1 ,,,,,
1.1,group,  KIẾN THỨC TOÁN HỌC VÀ KHOA HỌC CƠ BẢN,,1.1,,,,1,
1.1.1,group,   Toán học (32),,1.1.1,,,,1.1,
1.1.1_a,outcome, Diễn giải kiến thức đại số tuyến tính {aS4},,1.1.1_a,,,,1.1.1,
1.1.1_b,outcome, Diễn giải kiến thức giải tích (giới hạn__COMMA__ đạo hàm__COMMA__ vi phân__COMMA__ tích phân__COMMA__ kỹ thuật cho hàm nhiều biến__COMMA__ các hàm đặc biệt) {aS4},,1.1.1_b,,,,1.1.1,
1.1.1_c,outcome, Thực hiện sử dụng toán học để giải quyết các vấn đề {CP},,1.1.1_c,,,,1.1.1,
1.1.1_d,outcome, Diễn giải chủ quan về tư duy toán học {bS1},,1.1.1_d,,,,1.1.1,
1.1.2,group,   Vật lý (33),,1.1.2,,,,1.1,
1.1.2_a,outcome, Diễn giải kiến thức đại cương về cơ__COMMA__ nhiệt__COMMA__ điện và quang học trong giới hạn cổ điển {aS4},,1.1.2_a,,,,1.1.2,
1.1.2_b,outcome, Diễn giải kiến thức sơ lược về vật lý hiện đại {aS4},,1.1.2_b,,,,1.1.2,
1.1.2_c,outcome, Thực hiện sử dụng vật lý để giải quyết các vấn đề {CP},,1.1.2_c,,,,1.1.2,
1.1.2_d,outcome, Tiến hành thực hành {aE4},,1.1.2_d,,,,1.1.2,
1.1.2_e,outcome, Diễn giải chủ quan về tư duy vật lý {bS1},,1.1.2_e,,,,1.1.2,
1.1.3,group,   Hóa học (33),,1.1.3,,,,1.1,
1.1.3_a,outcome, Diễn giải kiến thức cơ bản về hóa học và phản ứng hóa học {aS4},,1.1.3_a,,,,1.1.3,
1.1.3_b,outcome, Kiến thức hóa cho vật liệu cấu trúc điện tử__COMMA__ liên kết hóa học trong kim loại__COMMA__ ceramics__COMMA__ bán dẫn và polymer {aS4},,1.1.3_b,,,,1.1.3,
1.1.3_c,outcome, Thực hành giải các vấn đề hóa lý thuyết cơ bản {CP},,1.1.3_c,,,,1.1.3,
1.1.3_d,outcome, Tiến hành các thực hành cơ bản {aE4},,1.1.3_d,,,,1.1.3,
1.1.4,group,   Tin học và lập trình (31),,1.1.4,,,,1.1,
1.1.4_a,outcome, Diễn giải các khái niệm cơ bản như vòng lặp__COMMA__ rẽ nhánh điều kiện {aS4},,1.1.4_a,,,,1.1.4,
1.1.4_b,outcome, Diễn giải một số cấu trúc dữ liệu__COMMA__ hướng đối tượng {aS4},,1.1.4_b,,,,1.1.4,
1.1.4_c,outcome, Chọn và sử dụng ngôn ngữ bậc cao (ví dụ như Python) {cS2},,1.1.4_c,,,,1.1.4,
1.1.4_d,outcome, Thực hành lập trình {CP},,1.1.4_d,,,,1.1.4,
1.1.4_e,outcome, Thực hành xử lý số liệu dựa vào tin học {CP},,1.1.4_e,,,,1.1.4,
1.1.4_f,outcome, Trình bày kiến thức cơ bản về khoa học dữ liệu__COMMA__ học máy và trí tuệ nhân tạo {aS4},,1.1.4_f,,,,1.1.4,
1.1.5,group,   Điện tử (33),,1.1.5,,,,1.1,
1.1.5_a,outcome, Diễn giải các kiến thức và ứng dụng của các linh kiện cơ bản như điện trở__COMMA__ tụ điện__COMMA__ cuộn cảm__COMMA__ diode__COMMA__ transistor  {aS4},,1.1.5_a,,,,1.1.5,
1.1.5_b,outcome, Thực hành thiết kế và xây dựng mạch đo {CP},,1.1.5_b,,,,1.1.5,
1.2,group,  KIẾN THỨC CƠ SỞ KỸ THUẬT CỐT LÕI,,1.2,,,,1,
1.2.1,group,   Diễn giải các kiến thức đại cương về khoa học và kỹ thuật vật liệu cấu trúc nguyên tử__COMMA__ liên kết__COMMA__ giản đồ pha__COMMA__ giới thiệu các loại vật liệu__COMMA__ các quá trình hóa lý trong vật liệu__COMMA__ tổng hợp chế tạo vật liệu (34) {aS4},,1.2.1,,,,1.2,
1.2.2,group,   Thảo luậngiải thích các quá trình biến đổi vi cấu trúc của vật liệu như khuếch tán__COMMA__ biến dạng__COMMA__ nứt vỡ__COMMA__ chuyển pha (32) {aS4},,1.2.2,,,,1.2,
1.2.3,group,   Thảo luậngiải thích các nguyên lý của nhiệt động lực học như sự chuyển pha theo nhiệt độ__COMMA__ tính thống kê và các đại lượng nhiệt động__COMMA__ có thể giải thích và ứng dụng trong vật liệu (31)  {aS4},,1.2.3,,,,1.2,
1.2.4,group,   Sử dụng các kỹ thuật và thiết bị để kiểm tra__COMMA__ đánh giá cấu trúc và đo đạc các thuộc tính của vật liệu VD XRD__COMMA__ OM__COMMA__ SEM__COMMA__ EDS (34) {aS4},,1.2.4,,,,1.2,
1.2.5,group,   Thảo luậngiải thích các kỹ thuật cơ bản về mô phỏng__COMMA__ tính toán__COMMA__ xử lý số liệu__COMMA__ và các kỹ thuật trong khoa học dữ liệu để xử lý các số liệu lớn trong lĩnh vực khoa học và kỹ thuật vật liệu (28) {aS4},,1.2.5,,,,1.2,
1.2.6,group,   Thảo luận về ảnh hưởng của các trường ngoài (như sóng điện từ (ánh sáng)__COMMA__ điện trường__COMMA__ từ trường) lên vật liệu (27) {aS4},,1.2.6,,,,1.2,
